namaste_code,namaste_term,namaste_terms,icd_code,icd_description
AAC-29,vraNAyAmaH,vraNAyAmaH,1A00,Cholera
SK21(AAC-30),pa~gguH,"It is characterised by flaccidity, loss of function in both lower limbs. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor functions. pa~gguH",5B80,Obesity
SL21(AAC-31),minminaH,"It is characterised by hypernasal voice leading to nasal twang. This may be explained by: (a) Obstruction to oral, nasal passages, vitiation of vata. minminaH",CA07,Acute Sinusitis
AAC-32,manyAstamBaH,the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck] manyAstamBaH,FA20,Cervical Spondylosis
SL07(AAC-33),mUkatvam,It is characterised by inability to speak. This may be explained by: (a) Vatadosha and kaphadosha affecting speech faculties. mUkatvam,AB30,Hearing Loss
SP40(AAC-34),vAtakaNTakam,It is characterised by pain in heel especially during walking. This may be explained by: (a) Increased vatadosha affecting the heel. vAtakaNTakam,FC00,Low Back Pain
SK51(AAC-35),viSvAcI,"It is characterised by pain in the neck, throat radiating up to the upper limbs, restricted movements. May be associated with, insomnia, temporary loss of hearing, memory. This may be explained by: (a) vitiation of vatadosha, pittadosha affecting neck, upper arms. viSvAcI",FA20,Cervical Spondylosis
SK52(AAC-36),kampaH/vepathuH,"It is characterised by tremors, rigidity, and may be associated with dryness of the skin and insomnia. This may be explained by: (a) aggravation of vata affecting the motor system. kampaH/vepathuH",4A40,Autoimmune Disease
AAC-37,SirograhaH,SirograhaH,1A00,Cholera
AAC-38(SK22),sarvA~ggavAtaH/sarvA~ggarogaH,sarvA~ggavAtaH/sarvA~ggarogaH,1A00,Cholera
AAC-39(SL7Y),sirAgrahaH,sirAgrahaH,1A00,Cholera
AAC-40(SK5Y),hanugrahaH/hanusraMsa,hanugrahaH/hanusraMsa,1A00,Cholera
SR20(AAD),AvRuta-vAtaH/AvaraNavAta,"It is characterised by hampering of the normal functioning of the dosha leading to local or systemic symptoms. This may be explained the occlusion of the free flowing and all-pervading Vata dosha or subtype of it by one another or by Pitta, Kapha, tissues, food and excreta. AvRuta-vAtaH/AvaraNavAta",DA94,Diarrhoeal Disease
AAD-1,anyonyAvaraNaH/paraspara-AvaraNaH,anyonyAvaraNaH/paraspara-AvaraNaH,1A00,Cholera
AAD-1.1,prANAvRutavyAnavAtaH,"the disorder is characterized by sarvēndriyāṇāṁ śūnyatva [loss of ability of sense organs], smr̥tikṣayaḥ [loss of memory], balakṣayaḥ [loss of physical strength or weakness] prANAvRutavyAnavAtaH",2B60,Malignant Neoplasm of Stomach
AAD-1.2,vyAnAvRutaprANavAtaH,"the disorder is characterized by svēdōऽtyartham [excessive sweating], lōmaharṣaḥ [horripilation], tvagdōṣaḥ [skin diseases], suptagātratā [numbness in the body parts] vyAnAvRutaprANavAtaH",1C10,Malaria
AAD-1.3,prANAvRutasamAnavAtaH,"the disorder is characterized by jaḍatvam [dullness/frigidity/inactiveness], gadgadatvam [stuttering/stammmering], mūkatvam [dumbness/aphasia] prANAvRutasamAnavAtaH",CB20,Pleural Effusion
AAD-1.4,samAnAvRuta-apAnavAtaH,"the disorder is characterized by grahaṇī [derangement of agni situated in grahaṇī], pārśvagadaḥ [pain/disease in flanks], hr̥dgadaḥ [diseases of heart], āmāśayaśūlam [colicky pain in epigastric region] samAnAvRuta-apAnavAtaH",BA40,Ischaemic Heart Disease
AAD-1.5,prANAvRuta-udAnavAtaH,"the disorder is characterized by śirōgrahaḥ [stiffness of head], pratiśyāyaḥ [cold, catarrh], niḥśvāsōcchvāsasaṁgrahaḥ/niḥśvāsōcchvāsasaṁrōdhaḥ [obstruction/restriction to respiration], hr̥drōgaḥ [diseases of heart], mukhaśōṣaḥ [dryness in mouth] prANAvRuta-udAnavAtaH",FA01,Rheumatoid Arthritis
AAD-1.6,udAnAvRutaprANavAtaH,"the disorder is characterized by karmanāśaḥ [loss of activities], ōjōnāśaḥ [loss of vitality/bodily strength, energy, power], balanāśaḥ [loss of strength], varṇanāśaḥ [loss of lustre/complexion], mr̥tyuḥ [death] udAnAvRutaprANavAtaH",2B60,Malignant Neoplasm of Stomach
AAD-1.7,udAnAvRuta-apAnavAtaH,"the disorder is characterized by chardiḥ [vomiting], śvāsaḥ [breathlessness/difficult breathing] udAnAvRuta-apAnavAtaH",1D81,COVID-19
AAD-1.8,apAnAvRuta-udAnavAtaH,"the disorder is characterized by mōhaḥ [semiconsciousness or stupefaction], alpāgniḥ [insufficient digestive power/capacity], atīsāraḥ [diarrhoea] apAnAvRuta-udAnavAtaH",1A40,Typhoid Fever
AAD-1.9,vyAnAvRuta-apAnavAtaH,"the disorder is characterized by vamiḥ [vomiting], ādhmānam [abdominal distension], udāvartaḥ [upword movement of vayu due to retention of stool and urine], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], artiḥ [pain], parikartikā [sharp cutting pain in anus] vyAnAvRuta-apAnavAtaH",DA40,Appendicitis
AAD-1.10,apAnAvRuta-vyAnavAtaH,"the disorder is characterized by viṭ-atipravr̥ttiḥ [excessive defecation], mūtra-atipravr̥ttiḥ [excessive micturition], rētas-atipravr̥ttiḥ [excessive semen/ejaculation] apAnAvRuta-vyAnavAtaH",5A10,Type 1 Diabetes Mellitus
AAD-1.11,samAnAvRuta-vyAnavAtaH,"the disorder is characterized by mūrcchā [syncope/attacks of swooning], tandrā [drowsiness/lassitude], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aṅgasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], agnikṣayaḥ [diminution of agni (digestive power)], ōjaḥkṣayaḥ [diminution of vitality/body energy/power], balakṣayaḥ [loss of physical strength or weakness] samAnAvRuta-vyAnavAtaH",5B80,Obesity
AAD-1.12,udAnAvRutavyAnavAtaH,"the disorder is characterized by stabdhatā [stiffness], alpāgnitā [insufficient digestive power/capacity], asvēdaḥ [anhidrosis/lack of sweating], cēṣṭāhāniḥ [loss of activities/motor function], nimīlanam [having the eyes closed] udAnAvRutavyAnavAtaH",FA01,Rheumatoid Arthritis
AAD-1.13,apAnAvRutasamAnavAtaH,apAnAvRutasamAnavAtaH,1A00,Cholera
AAD-1.14,apAnAvRuta-prANavAtaH,apAnAvRuta-prANavAtaH,1A00,Cholera
AAD-1.15,prANAvRuta-apAnavAtaH,prANAvRuta-apAnavAtaH,1A00,Cholera
AAD-1.16,samAnAvRutaprANavAtaH,samAnAvRutaprANavAtaH,1A00,Cholera
AAD-1.17,samAnAvRuta-udAnavAtaH,samAnAvRuta-udAnavAtaH,1A00,Cholera
AAD-1.18,udAnAvRutasamAnavAtaH,udAnAvRutasamAnavAtaH,1A00,Cholera
AAD-1.19,vyAnAvRuta-udAnavAtaH,vyAnAvRuta-udAnavAtaH,1A00,Cholera
AAD-1.20,vyAnAvRutasamAnavAtaH,vyAnAvRutasamAnavAtaH,1A00,Cholera
AAD-2,doShAvRuta-vAtaH,doShAvRuta-vAtaH,1A00,Cholera
AAD-2.1(SR20),pittAvRutavAtaH,pittAvRutavAtaH,1A00,Cholera
AAD-2.2(SR20),kaPAvRutavAtaH,kaPAvRutavAtaH,1A00,Cholera
AAD-2.3(SR20),pittAvRutaprANavAtaH,pittAvRutaprANavAtaH,1A00,Cholera
AAD-2.4(SR20),kaPAvRutaprANavAtaH,kaPAvRutaprANavAtaH,1A00,Cholera
AAD-2.5(SR20),pittAvRuta-udAnavAtaH,pittAvRuta-udAnavAtaH,1A00,Cholera
AAD-2.6(SR20),kaPAvRuta-udAnavAtaH,kaPAvRuta-udAnavAtaH,1A00,Cholera
AAD-2.7(SR20),pittAvRuta-samAnavAtaH,pittAvRuta-samAnavAtaH,1A00,Cholera
AAD-2.8(SR20),kaPAvRutasamAnavAtaH,kaPAvRutasamAnavAtaH,1A00,Cholera
AAD-2.9(SR20),pittAvRutavyAnavAtaH,pittAvRutavyAnavAtaH,1A00,Cholera
AAD-2.10(SR20),kaPAvRutavyAnavAtaH,kaPAvRutavyAnavAtaH,1A00,Cholera
AAD-2.11(SR20),pittAvRuta-apAnavAtaH,pittAvRuta-apAnavAtaH,1A00,Cholera
AAD-2.12(SR20),kaPAvRuta-apAnavAtaH,kaPAvRuta-apAnavAtaH,1A00,Cholera
AAD-2.13,kaPapittAvRutavAtaH,kaPapittAvRutavAtaH,1A00,Cholera
AAD-3,dhAtvAvRutavAtaH,dhAtvAvRutavAtaH,1A00,Cholera
AAD-3.1(SR20),raktAvRutavAtaH,raktAvRutavAtaH,1A00,Cholera
AAD-3.2(SR20),mAMsAvRutavAtaH,mAMsAvRutavAtaH,1A00,Cholera
AAD-3.3(SR20),medasAvRutavAtaH,medasAvRutavAtaH,1A00,Cholera
AAD-3.4(SR20),asthyAvRutavAtaH,asthyAvRutavAtaH,1A00,Cholera
AAD-3.5(SR20),majjAvRutavAtaH,majjAvRutavAtaH,1A00,Cholera
AAD-3.6(SR20),SukrAvRutavAtaH,SukrAvRutavAtaH,1A00,Cholera
AAD-3.7(SR20),sarvadhAtvAvRutavAtaH,sarvadhAtvAvRutavAtaH,1A00,Cholera
AAD-4(SR20),malAvRutavAtaH,malAvRutavAtaH,1A00,Cholera
AAD-4.1(SR20),mUtrAvRutavAtaH,mUtrAvRutavAtaH,1A00,Cholera
AAD-4.2,varcasAvRutavAtaH,"the disorder is characterized by ativibandhaḥ [severe constipation], svē sthānē parikr̥ntati [cutting type of pain in svasthana i.e. rectum/pakvāśaya], vrajatyāśu jarāṁ snēhaḥ [instantaneous digestion of the ingested fat], bhuktē cānahyatē naraḥ [abdominal distention on consumption of food], cirāt pīḍitamannēna duḥkhaṁ śuṣkaṁ śakr̥t sr̥jēt [due to pressure of the undigested food, the patient voids after along time. the voiding is painfull and the stool is dry], śrōṇivaṅkṣaṇapr̥ṣṭhēṣu ruk [pain in the hips, groin, and back], vilōmaḥ mārutaḥ [upward movement of vāyu (flatus or gas) in the abdomen], asvasthaṁ hr̥dayam [discomfort in the cardiac region/heart] varcasAvRutavAtaH",DA93,Intestinal Obstruction
AAD-5(SR20),annAvRutavAtaH,annAvRutavAtaH,1A00,Cholera
AAE,sthAnaviSeSha-kupitavAtaH,sthAnaviSeSha-kupitavAtaH,1A00,Cholera
AAE-1,koShThASritavAtakopaH,"the disorder is characterized by arśaḥ [hemorrhoids], gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], pārśvaśūlam [pain in sides of chest/flanks], bradhnaḥ [inguinal swelling/herniation], mūtranigrahaḥ [retention of urine], varca-nigrahaḥ [retention of faeces], hr̥drōgaḥ [diseases of heart] koShThASritavAtakopaH",MG40,Oedema / Swelling
AAE-2,sarvA~ggakupitavAtaH,"the disorder is characterized by gātrasphuraṇam [flickering/twitching in various parts of body], sandhisphuṭanam [bursting type of pain in joints], gātrabhañjanam [feeling as if limbs are being broken], vēdanā-parītaḥ [severe pain], tōdaḥ [pricking pain], bhēdaḥ [breaking type of pain], sphuraṇam [pulsating sensation], stambhanam [stiffening of body], ākṣēpaṇam [convulsion], sandhi-ākuñcanam [contraction of joint], sandhi-kampanam [trembling of joint] sarvA~ggakupitavAtaH",1E30,Dengue Fever
AAE-3,gudasthitavAtaH,"the disorder is characterized by viḍgrahaḥ [retention of feces], mūtragrahaḥ [obstruction/retention in the passage of urine], vātagrahaḥ [retention of flatus], śūlam [sharp pain in anus], ādhmānam [abdominal distension], aśmarī [urolithiasis], śarkarā [mutiple gravely particles in urine], jaṅghārōgaḥ(rujā) [pain in calf muscles], jaṅghāśōṣaḥ [wasting of calf region], ūrurōgaḥ(rujā) [pain in thighs], ūruśōṣaḥ [wasting of thighs], trik-rōgaḥ(rujā) [pain in sacral iliac region of back], trik-śōṣaḥ [wasting of sacroiliac region of back], pādarōgaḥ(rujā) [pain in legs/feet], pādaśōṣaḥ [wasting of legs], pr̥ṣṭharōgaḥ(rujā) [pain in back], pr̥ṣṭhaśōṣaḥ [wasting of back] gudasthitavAtaH",FA24,Lumbar Spondylosis
AAE-4,AmASayagatavAtaH,"the disorder is characterized by hr̥daya-ruk [pain in the pericordial region/angina pectoris], nābhi- ruk [pain in the umbilical region], pārśvaruk [pain in sides of chest/flanks], udararuk [pain in the abdomen], tr̥ṣṇā [thirst], udgāraḥ [eructation], visūcikā [loose motions and vomitings caused by ama], kāsaḥ [cough], kaṇṭha-śōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], śvāsaḥ [breathlessness/difficult breathing], vamathuḥ [vomiting], kaṇṭhōparōdhaḥ [choking sensation of throat/obstruction of throat], nābhērūrdhvavyādhayaḥ [diseases of above nabhi/umbilicus] AmASayagatavAtaH",CA08,Acute Pharyngitis
AAE-5,pakvASayagatavAtaH,"the disorder is characterized by antrakūjanam [barborygmus/gurgling sound of intestines], śūlaḥ [colicky pain in the abdomen], āṭōpaḥ [gurgling sound of the intestines/barborygmus], mūtrakr̥cchram [dysuria], kr̥cchrapurīṣatvam [diffuculty in passing stool], ānāhaḥ [barborygmus with distention], trikavēdanām [pain in the sacroiliac region], malarōdhaḥ [constipation], aśmarī [urolithiasis], vardhma [herniation], arśas [haemorrhoids], trikagraham [stiffness of sacroiliac region], pr̥ṣṭhagraham [stiffness of back], kaṭigraham [stiffness of low back] pakvASayagatavAtaH",FA24,Lumbar Spondylosis
AAE-6,SrotrAdIndriyagatavAtaH,the disorder is characterized by indriyavadham [impairment of the functions of sense organs] SrotrAdIndriyagatavAtaH,1A00,Cholera
AAE-7,tvak^-gatavAtaH,"the disorder is characterized by tvak-rūkṣatvam [dryness of skin], tvak- sphuṭitā [cracking of skin], tvak-suptatvam [numbness in skin], tvak-kr̥śatvam [thining of skin/skin atrophy], tvak- kr̥ṣṇatvam [blackening of skin], tudyatē/nistōdanam [pricking pain in skin], ātanyatē sarāgā [stretching and redness of skin], parvaruk [pain in small joints], cumacumāyanam [skin irritation as if application of mustard paste], tvagbhēdam [cracking of skin], vaivarṇyam [discolouration], paripōṭanam [scaling of skin] tvak^-gatavAtaH",EB00,Cellulitis
AAE-8,asRuggatavAtaH/raktagatavAta,"the disorder is characterized by rujastīvrāḥ [acute pain], sasantāpāḥ [with burning sensation], vaivarṇyaṁ [discolouration], kr̥śatā [emaciation], aruciḥ [tastelessness], gātrē cārūṁṣi [appearance of rash/scabs on the body], bhuktasya stambhaḥ gātrē [stiffness of the body after taking food], svāpam [sleepiness/numbness], rāgam [redness/congestion], annasya viṣṭambhaḥ [indigestion of food], bhramaḥ [giddiness or dizziness], vraṇaḥ [wound/ulcer/sore] asRuggatavAtaH/raktagatavAta",FA90,Myalgia (Muscle Pain)
AAE-9,mAMsagatavAtakopa,"the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], saśūla-granthiḥ [glandular swelling with pain] mAMsagatavAtakopa",5B80,Obesity
AAE-10,medogatavAtaH,"the disorder is characterized by gurvaṅgam [heavyness of the body], tudyatēऽtyarthaṁ daṇḍamuṣṭihataṁ tathā [excessive pain in the body as if beaten by a stick or with fist-cuffs], saruk śramitamatyartham [pain and excessive fatigue], karkaśa-granthiḥ [glandular swelling which is hard/firm/rough], tōdaḥ [pricking pain], śramam [exhaustion/fatigue], atiruk [severe pain], stabdham [stiffness], mandaruk [mild pain], avraṇa-granthiḥ [glandular swelling without ulcer] medogatavAtaH",5B80,Obesity
AAE-11,asthigatavAtaH,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk [constant pain], sakthiśūlam [pain in thighs], sandhisaśūlam [pain in joints], asthiśūlam [pain in the bones], tīvraṁ balakṣayam [severe loss of physical strength], asthiśōṣaḥ [diminution of asthi/osteoenia/osteoporosis] asthigatavAtaH",FA70,Osteoporosis
AAE-12,majjAgatavAtaH,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk/rujam [constant pain], asthisauṣiryaḥ [porousness of bones], stabdhatā [stiffness] majjAgatavAtaH",FA70,Osteoporosis
AAE-13,SukragatavAtaH,"the disorder is characterized by garbham badhnāti [delayed labour/postterm delivery], garbhakṣipraṁ muñcati [miscarriage/abortion/preterm delivery], śukraṁ badhnāti/śukrasya saṅgam [delayed ejaculation], śukraṁ kṣipraṁ muñcati/śukrasya śīghramutsargam [premature ejaculation], vikr̥tiṁ janayēt [congenital anamolies in offspring], śukrasya apravr̥ttiḥ [inability to ejaculate] SukragatavAtaH",DA93,Intestinal Obstruction
AAE-14,snAyugatavAtaH,"the disorder is characterized by bāhyāyāmaḥ [external bending of body], antarāyāmaḥ [internal bending of body], khallī [shooting pain in extremities], kubjatvam [hump backed], sarvāṅgarōgaḥ [quadriplegia], ēkāṅgarōgaḥ [monoplegia], stambhaḥ [rigidity/stiffness], kampaḥ [tremors], śūlam [sharp pain], ākṣēpaṇam [convulsion], gr̥dhrasī [sciatica] snAyugatavAtaH",FC00,Low Back Pain
AAE-15,sirAgatavAtaH,"the disorder is characterized by mandaruk [mild pain], mandaśōpham [mild oedema], śarīraṁ śuṣyati [dryness/emaciation of body], spandatē tathā supta sirā [presence or absence of pulsation in the blood vessels/arteries], tanvyō mahatyō vā sirā [thinness or excessive thickness of the vessels or narrowing or dilatation of blood vessels/arteries], śūlam [sharp pain], sirākuñcanam [contraction/narrowing of sira/blood vessels (kuṭila sirā- tortous sira)], sirāpūraṇam [bulky /prominent blood vessels], sirāsu ādhmānam [fullness of blood vessels], sirāsu riktatā [emptyness of blood vessels] sirAgatavAtaH",1B10,Tuberculosis of Lung
SP12(AAE-16),sandhigatavAtaH,"It is characterised by pain, swelling, stiffness, hardening and restricted movements of the joint. This may be explained by: (a) Increased vata affecting the joint leading to degenerative changes. sandhigatavAtaH",FA01,Rheumatoid Arthritis
AAE-17,bastigata-pratilomavAtaH/bastigata-viguNavAtaH,the disorder is characterized by vividhāḥ vikārāḥ [various disorders of urinary tract] bastigata-pratilomavAtaH/bastigata-viguNavAtaH,GB40,Urolithiasis (Kidney Stones)
AA-1,kRucCrasAdhyavAtavyAdhiH,kRucCrasAdhyavAtavyAdhiH,1A00,Cholera
AA-2,asAdhyavAtavyAdhiH,asAdhyavAtavyAdhiH,1A00,Cholera
AA-3,vAtavyAdhi-upadravaH,"the disorder is characterized by visarpaḥ [spreading cellulitis/erysipelas], dāhaḥ [burning sensation], ruk [pain], saṅgaḥ [obstruction/adherence], mūrchā [syncope/attacks of swooning], aruciḥ [tastelessness], agnimārdavam [diminution of agni (digestive power)], kṣīṇamāṁsam [depletion/diminution of māṁsa], kṣīṇabalam [loss of strength], pakṣavadhādayaḥ [paralysis etc] vAtavyAdhi-upadravaH",8E00,Peripheral Neuropathy
AA-4,vAtavyAdhi^^ariShTa,"the disorder is characterized by śūnam [oedema], suptatvacam [numbness in skin], bhagnam [fractures], kampanipīḍitam [afflicted with trembling], ādhmānanipīḍitam [afflicted with abdominal distention], rujārtimantam [severe pain] vAtavyAdhi^^ariShTa",DB90,Acute Pancreatitis
AB,pittavikAraH,pittavikAraH,1A00,Cholera
ABA,doShAvasthA (pitta),doShAvasthA (pitta),1A00,Cholera
SR16(ABA-1),pittasa~jcayaH,It is characterized by yellowish discoloration of body and mild raised body temperature. This may be explained by accumulation of pittadosha at the designated site. pittasa~jcayaH,5B80,Obesity
SR17(ABA-2),pittavRuddhiH,"It is characterized by yellowish discoloration of the body, increased body heat, desire for cold, reduced sleep, loss of consciousness, weakness of body and sense organs, yellowish discoloration of stool, urine and eyes. This may be explained by marked increase of pittadosha functions and consequent physiological and pathological ramifications. pittavRuddhiH",5B80,Obesity
